# NSAID zone depth edge out
3460 411 3 0 0
3464 371 8 0 0
3466 411 2 0 0
3468 22 4 0 0
3469 450 4 0 0
3470 603 2 0 0
3471 603 2 0 0
3472 411 3 0 0
3473 411 3 0 0
3474 411 3 0 0
3475 411 2 0 0
3476 603 2 0 0
3478 603 1 0 0
3479 411 1 0 0
3481 411 3 0 0
3483 411 3 0 0
3485 503 1 0 0
3486 603 1 0 0
3494 450 3 0 0
3495 22 4 0 0
3496 411 2 0 0
3500 1035 0 1 0
3501 1035 0 1 0
3503 1035 0 1 0
3504 834 1 0 0
3507 1035 0 1 0
3511 411 2 0 0
3513 1035 0 1 0
3519 221 3 0 0
3520 1035 0 1 0
3524 1035 0 1 0
3525 1035 0 1 0
3528 1035 0 1 0
3530 411 4 0 0
3531 411 2 0 0
3533 617 1 0 0
3539 136 3 0 0
3541 411 2 0 0
3544 1035 0 1 0
3545 1035 0 1 0
3548 1035 0 1 0
3550 744 3 0 0
3552 744 4 0 0
3554 1035 0 1 0
3556 411 4 0 0
3558 136 3 0 0
3559 411 3 0 0
3560 411 2 0 0
3561 411 3 0 0
3569 1035 0 1 0
3570 1035 0 1 0
3571 411 2 0 0
3573 411 3 0 0
3574 136 4 0 0
3575 1035 0 1 0
3579 1035 0 1 0
3581 1035 0 1 0
3582 1035 0 1 0
3589 411 2 0 0
3590 744 3 0 0
3591 411 3 0 0
3595 1035 0 1 0
3601 136 4 0 0
3611 1035 0 1 0
3612 411 3 0 0
3613 1035 0 1 0
3614 1035 0 1 0
3616 1035 0 1 0
3620 1035 0 1 0
3621 136 4 0 0
3623 136 4 0 0
3625 1035 0 1 0
3627 603 2 0 0
3629 136 3 0 0
3635 1035 0 1 0
3636 1035 0 1 0
3641 1035 0 1 0
3643 1035 0 1 0
3645 744 2 0 0
3648 136 4 0 0
3649 744 2 0 0
3652 1035 0 1 0
3654 1035 0 1 0
3660 1035 0 1 0
3662 1035 0 1 0
3665 22 4 0 0
3666 813 4 0 0
3667 1035 0 1 0
3671 411 3 0 0
3672 411 2 0 0
3673 450 2 0 0
3674 450 3 0 0
3675 603 2 0 0
3676 371 5 0 0
3677 411 3 0 0
3678 813 3 0 0
